split,feature_set,activation,loss,seed,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
3,base_only,tanh,focal_gamma_1,2025,0.4846905246105702,0.2546685491675961,0.7027786821391391,0.06190156599175093,1,0.014131332722382922,0.004800354678339895,0.6666666666666666,0.7333333333333334,-0.03326839620999428
3,base_only,tanh,focal_gamma_1,9001,0.45269386391108124,0.25661997320889574,0.706552646982829,0.0824460602406445,2,0.012928610447008963,0.0035976324029659344,0.3333333333333333,0.8333333333333334,-0.003961228233774693
3,base_only,tanh,focal_gamma_1,117,0.5005062369636217,0.25171015821616805,0.696712100722713,0.043438348974367866,5,0.004341192118104235,-0.004989785925938792,0.3333333333333333,0.7666666666666666,-0.04040218048248325
3,base_only,tanh,focal_gamma_1,8080,0.4814704848321467,0.2542211342016313,0.7018805372698762,0.04508457607008569,3,0.0043345462978353275,-0.0049964317462077,0.6666666666666666,0.6,-0.045368281865722004
3,base_plus_kinematic,tanh,focal_gamma_1,442,0.4794505061748487,0.2541095260876077,0.7016107350203789,0.057049260923120106,7,-0.0018279056637120275,-0.011158883707755057,0.3333333333333333,0.8666666666666666,-0.0445867540010604
3,base_plus_kinematic,tanh,focal_gamma_1,2025,0.480440618714742,0.2577836098638099,0.709313240918723,0.074084270576203,1,-0.004875009022586888,-0.014205987066629915,0.3333333333333333,0.8333333333333334,-0.037220382328919076
3,base_plus_kinematic,tanh,focal_gamma_1,9001,0.4404882733157838,0.25754451870952355,0.7084439950377087,0.08451950536861637,7,0.009420275326927205,8.929728288417649e-05,0.6666666666666666,0.7666666666666666,-0.033560419137843044
3,base_plus_kinematic,tanh,focal_gamma_1,117,0.4750167399830302,0.2541168880760418,0.7016545476528536,0.04847483793056251,4,0.016083293044514866,0.00675231500047184,1.0,0.8333333333333334,0.003111220203748833
3,base_plus_kinematic,tanh,focal_gamma_1,8080,0.45971658183832964,0.25677498740940496,0.7070014379688306,0.07632334644944379,2,-0.01235829368600052,-0.021689271730043546,0.0,0.8333333333333334,-0.046447138649302985
3,base_plus_graph_motion,tanh,focal_gamma_1,442,0.5220849757565291,0.25239676649524456,0.6982370975713647,0.04230359784042027,7,0.021688774473703726,0.012357796429660695,0.6666666666666666,0.9,-0.030287730061372177
3,base_plus_graph_motion,tanh,focal_gamma_1,2025,0.4775609689437599,0.2625071287503632,0.7200433187928045,0.08379837214554238,25,0.02348619899692803,0.014155220952885008,0.3333333333333333,0.6666666666666666,-0.01924128911337143
3,base_plus_graph_motion,tanh,focal_gamma_1,9001,0.5031038847941324,0.2528071158229653,0.6989010192887545,0.05809698187923437,13,0.010544933868682785,0.001213955824639756,0.6666666666666666,0.7333333333333334,-0.025121936887265783
3,base_plus_graph_motion,tanh,focal_gamma_1,117,0.48464207493797823,0.2559070867512789,0.7053648505465068,0.06326979219853747,3,-0.011419203239183787,-0.020750181283226813,0.0,0.9333333333333332,-0.02898787600410312
3,base_plus_graph_motion,tanh,focal_gamma_1,8080,0.5016367293241022,0.2528304134162703,0.6989638378374567,0.04175763470531215,3,-0.0066691856191197114,-0.01600016366316274,0.0,0.8666666666666667,-0.04113760584837825
3,base_plus_all_motion,tanh,focal_gamma_1,442,0.5101377834150559,0.2502188519565049,0.6935296972498742,0.04683437004247025,4,0.016406358397103752,0.007075380353060725,0.6666666666666666,0.9333333333333332,-0.011366467768905219
3,base_plus_all_motion,tanh,focal_gamma_1,2025,0.50347284768541,0.25514715001065896,0.7039291116536456,0.06551196349810828,17,0.015564406315798765,0.006233428271755738,0.6666666666666666,0.8333333333333334,-0.007613397212445794
3,base_plus_all_motion,tanh,focal_gamma_1,9001,0.47333590903387623,0.26194042410393037,0.718734020551896,0.09759394396696422,27,0.011945026430268735,0.002614048386225705,0.6666666666666666,0.7999999999999999,-0.021652405910154937
3,base_plus_all_motion,tanh,focal_gamma_1,117,0.48344325611615,0.26624981151317373,0.7287228913953163,0.12030069629888843,31,0.02116207825464427,0.01183110021060124,0.3333333333333333,0.7333333333333334,-0.009783585212208623
3,base_plus_all_motion,tanh,focal_gamma_1,8080,0.4852135326147046,0.26028115218958336,0.7148132951029064,0.08720776890373462,1,0.012329725342102452,0.002998747298059425,0.6666666666666666,0.8666666666666666,-0.024749738462775284
