split,activation,loss,seed,feature_set,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
1,gelu,brier_mse,9001,all_motion,0.48230078886014505,0.2810876983907618,0.7652912453821002,0.16135838255366075,15,-0.0058468243710160265,-0.016452341892732543,0.0,0.7333333333333334,-0.03490174820053388
1,gelu,focal_gamma_1,442,all_motion,0.46360448404714005,0.27468910430003324,0.747272705738966,0.14486343455338027,29,0.01742788646255276,0.0068223689408362445,0.6666666666666666,0.7666666666666666,-0.033078461121733065
1,gelu,focal_gamma_1,2025,all_motion,0.4965015489763981,0.2690287829427902,0.7337886180915667,0.13894820648161849,20,0.02601099944641767,0.015405481924701153,0.6666666666666666,0.7999999999999999,-0.036188237367357046
1,gelu,focal_gamma_1,9001,all_motion,0.4633400402414487,0.2748144475869729,0.7481444503059475,0.14355662225965052,23,-0.018001232956785438,-0.028606750478501957,0.0,0.8000000000000002,-0.033600575757092105
1,gelu,focal_gamma_2,442,all_motion,0.46960876369327076,0.2643582603598884,0.7235847892429065,0.1185465592020457,34,0.013642378227934926,0.0030368607062184103,0.6666666666666666,0.7333333333333334,-0.033078461121733065
1,gelu,focal_gamma_2,2025,all_motion,0.5078279199003545,0.2622388573207846,0.7188458270536772,0.1241153849466088,27,0.021188916997206448,0.010583399475489934,0.6666666666666666,0.7999999999999999,-0.036188237367357046
1,gelu,focal_gamma_2,9001,all_motion,0.4581763597457762,0.267717711011487,0.7309140324454448,0.12257397583889233,25,-0.024678133598613258,-0.03528365112032977,0.0,0.7666666666666666,-0.03543278813959574
1,gelu,return_aware_bce,442,all_motion,0.4683657500558909,0.29839273711920494,0.8132999428461861,0.19620416388375767,29,0.026895923519398606,0.016290405997682087,0.6666666666666666,0.8000000000000002,-0.02841872003061705
1,gelu,return_aware_bce,2025,all_motion,0.49217974513749163,0.2841734672070895,0.7712696044698982,0.17238437735771203,17,0.009345372498359263,-0.0012601450233572509,0.3333333333333333,0.8333333333333334,-0.044169513671424916
1,gelu,return_aware_bce,9001,all_motion,0.48346970713167897,0.28332162119055865,0.7718472767206918,0.16454091168396107,15,-0.0058468243710160265,-0.016452341892732543,0.0,0.7333333333333334,-0.03490174820053388
2,relu,binary_cross_entropy,442,all_motion,0.5286015497404317,0.25641666033424537,0.709758209213546,0.08283217493004755,1,0.002196458018803154,-0.01762250441024817,0.0,0.9666666666666667,-0.001297043302993494
2,relu,binary_cross_entropy,2025,all_motion,0.4788039111897898,0.26654217329959407,0.7295465445746292,0.09860545963565626,1,-0.00848970151993119,-0.028308663948982515,0.0,0.8666666666666666,-0.012830281429713885
2,relu,binary_cross_entropy,9001,all_motion,0.5295948119025498,0.26774701464469514,0.737516364432902,0.11296851025593227,3,0.04099058380417268,0.021171621375121342,0.6666666666666666,0.6,-0.01805838855934101
2,relu,brier_mse,442,all_motion,0.5307427212114277,0.25697906976274887,0.711512567641182,0.08473942767160286,1,0.0024565853724490285,-0.017362377056602298,0.0,0.9666666666666667,-0.001297043302993494
2,relu,brier_mse,2025,all_motion,0.4816680266395426,0.2683942896257201,0.7340863532277995,0.10150280950931068,1,-0.007727778687441555,-0.02754674111649288,0.0,0.8333333333333334,-0.012830281429713885
2,relu,brier_mse,9001,all_motion,0.5301668806161746,0.2679139580856249,0.737938970083066,0.11417615997199027,3,0.04099058380417268,0.021171621375121342,0.6666666666666666,0.6,-0.01805838855934101
2,relu,focal_gamma_1,442,all_motion,0.5129230951054806,0.27635411506246427,0.7566979168682662,0.1287159651300382,24,0.02342040959839077,0.003601447169339444,0.6666666666666666,0.8666666666666667,-0.005428984663133106
2,relu,focal_gamma_1,2025,all_motion,0.4824777238957502,0.25975264611670323,0.7134189469675349,0.0885980703032853,2,0.006371654587890106,-0.013447307841161221,0.0,0.8666666666666666,-0.011422354254653365
2,relu,focal_gamma_1,9001,all_motion,0.5273015078725456,0.26112492244153024,0.7189472546615274,0.09807199012575958,3,0.029073234958400793,0.009254272529349466,0.6666666666666666,0.7666666666666666,-0.014706216762234358
2,relu,focal_gamma_2,442,all_motion,0.5056647375587628,0.28254798561373123,0.77391817712613,0.14087193030207276,48,0.018231270299547766,-0.0015876921295035565,0.6666666666666666,0.8000000000000002,-0.022782191574503306
2,relu,focal_gamma_2,2025,all_motion,0.4845686036117024,0.2560401378833414,0.7054593667149494,0.08230020799754009,3,-0.0027172814502402706,-0.022536243879291595,0.3333333333333333,0.9333333333333332,-0.043788895398921245
2,relu,focal_gamma_2,9001,all_motion,0.5487521986926658,0.2615593721382942,0.7221173822739272,0.10417156824520826,18,0.03952944668450655,0.019710484255455227,0.6666666666666666,0.7666666666666666,-0.012914312136064476
2,relu,return_aware_bce,442,all_motion,0.5289271888543412,0.25664529222458726,0.7103475242201313,0.07819890424644874,1,0.0007559811851265207,-0.019062981243924804,0.0,0.9333333333333332,-0.003733018101621465
2,relu,return_aware_bce,2025,all_motion,0.47965887102553684,0.26749229274901615,0.7318931030498007,0.10131736229979028,1,-0.00848970151993119,-0.028308663948982515,0.0,0.8666666666666666,-0.012830281429713885
2,relu,return_aware_bce,9001,all_motion,0.5305377823096238,0.26875956710818977,0.7403635061627353,0.11421818319301034,3,0.04179252402603086,0.021973561596979527,0.6666666666666666,0.6,-0.015652567893766456
2,tanh,binary_cross_entropy,442,all_motion,0.5528798944878979,0.24996066028882574,0.6943971352008583,0.06637489415177884,1,0.03894637499785256,0.019127412568801235,1.0,0.8000000000000002,0.01694659234981684
2,tanh,binary_cross_entropy,2025,all_motion,0.5091549853588128,0.25842299708499905,0.7109773171013586,0.08552228853712424,1,0.014270194048589459,-0.005548768380461867,0.3333333333333333,0.7333333333333334,-0.0101168254640555
2,tanh,binary_cross_entropy,9001,all_motion,0.5604462890342601,0.2527985537993703,0.6997423760209474,0.0882337114196979,2,0.040672198263913543,0.02085323583486222,0.6666666666666666,0.5666666666666668,0.0002758390854932017
2,tanh,brier_mse,442,all_motion,0.5543622439678183,0.2502588442347957,0.6951674891008441,0.06644283107433938,1,0.03300921024972792,0.013190247820676603,1.0,0.7666666666666666,0.011790149997175791
2,tanh,brier_mse,2025,all_motion,0.5110484699362174,0.25899457363377193,0.7122822374273258,0.0888107043518533,1,0.015757043827530612,-0.004061918601520714,0.3333333333333333,0.7333333333333334,-0.00565627612723204
2,tanh,brier_mse,9001,all_motion,0.5612295831190695,0.2525014895284728,0.6991100504181038,0.08740530620322569,2,0.040672198263913543,0.02085323583486222,0.6666666666666666,0.5666666666666668,0.0002758390854932017
2,tanh,focal_gamma_1,442,all_motion,0.5319698400345001,0.25133754489012516,0.6958714324284178,0.07470992164281626,11,0.02950691431864753,0.009687951889596204,0.3333333333333333,0.7333333333333334,0.004677211897369516
2,tanh,focal_gamma_1,2025,all_motion,0.5170017564395449,0.2529918813209284,0.6992803288502033,0.07582520489582363,2,0.02724313744666414,0.0074241750176128165,0.6666666666666666,0.7000000000000001,-0.0040708067065222
2,tanh,focal_gamma_1,9001,all_motion,0.539775120417321,0.2556955136230369,0.70545165290384,0.0945406768037798,2,0.04093608860390182,0.02111712617485049,0.6666666666666666,0.8333333333333334,-0.0019552183951810124
2,tanh,focal_gamma_2,442,all_motion,0.48103309323211274,0.26802008172184005,0.7314272759342629,0.11353135167333889,49,0.01465264135640971,-0.005166321072641613,0.3333333333333333,0.8333333333333334,-0.003419784737937414
2,tanh,focal_gamma_2,2025,all_motion,0.5113590215236139,0.2522985812750148,0.6978298111640427,0.07205519862092513,2,0.020145975387463152,0.000327012958411826,0.6666666666666666,0.8333333333333334,-0.013614225955476176
2,tanh,focal_gamma_2,9001,all_motion,0.5218649691522947,0.2571513082715008,0.7083292584673193,0.0943201828403593,2,0.04437681153445484,0.024557849105403515,0.6666666666666666,0.8000000000000002,-0.0033698083281027626
2,tanh,return_aware_bce,442,all_motion,0.5548877928080276,0.24999028391006334,0.6945347918024188,0.06487805156803642,1,0.03860591925678482,0.018786956827733493,1.0,0.7666666666666666,0.013962148351368176
2,tanh,return_aware_bce,2025,all_motion,0.5110509845239697,0.25845572088396646,0.711100242143492,0.08654746747155688,1,0.015757043827530612,-0.004061918601520714,0.3333333333333333,0.7333333333333334,-0.00565627612723204
2,tanh,return_aware_bce,9001,all_motion,0.5622090150485504,0.2526566836592269,0.6994701056419952,0.08864639390751915,2,0.04315867735473739,0.02333971492568607,0.6666666666666666,0.5666666666666668,0.0002758390854932017
2,leaky_relu,binary_cross_entropy,442,all_motion,0.5364332332946506,0.2572830833955505,0.7128945890292758,0.08539438693063331,1,0.006664467736714309,-0.013154494692337017,0.3333333333333333,0.9333333333333332,-0.001297043302993494
2,leaky_relu,binary_cross_entropy,2025,all_motion,0.489607837467106,0.26484240933911574,0.7259812176028367,0.08852195295779698,1,0.001398999855906577,-0.01841996257314475,0.0,0.8333333333333334,-0.00012939743361918218
2,leaky_relu,binary_cross_entropy,9001,all_motion,0.5332623381391296,0.26619589612309114,0.7333538335881912,0.11072153309862519,3,0.03514103446157114,0.015322072032519812,0.6666666666666666,0.6666666666666666,-0.015752567893766455
2,leaky_relu,brier_mse,442,all_motion,0.5375874290729092,0.25803888919467655,0.7152128750526685,0.09118534529236122,1,0.014184229279716576,-0.005634733149334748,0.3333333333333333,0.9333333333333332,-0.001297043302993494
2,leaky_relu,brier_mse,2025,all_motion,0.49061241527410887,0.2673612860651495,0.7321180713516136,0.09974536435555721,1,0.0012786632580964804,-0.018540299170954844,0.0,0.7666666666666666,-0.004771180384751061
2,leaky_relu,brier_mse,9001,all_motion,0.5326336912010803,0.26678097253730015,0.7348278373129216,0.10859222159555304,3,0.03459891585393798,0.014779953424886652,0.6666666666666666,0.6333333333333333,-0.015652567893766456
2,leaky_relu,focal_gamma_1,442,all_motion,0.5110421834668369,0.29474612046194976,0.8252859292393254,0.15537955499025968,38,0.015620123921164311,-0.004198838507887014,0.3333333333333333,0.8333333333333334,0.0009440891818397141
2,leaky_relu,focal_gamma_1,2025,all_motion,0.5041635286707009,0.25721144096834164,0.7082001979700553,0.08624979742557563,3,0.002361055143405457,-0.01745790728564587,0.3333333333333333,0.9333333333333332,-0.0349979030092761
2,leaky_relu,focal_gamma_1,9001,all_motion,0.5355204379406029,0.25892954131827284,0.7139259879212283,0.08760442137850749,3,0.03175257826807542,0.011933615839024095,0.6666666666666666,0.7333333333333334,-0.01014155890436017
