split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
5,graph_survivors_placebo,tanh_mlp_16_8,8080,350,20,210000,12000,0.5099533852550783,0.24791420025646646,0.6889674515408755,0.09376185472801235,0.01725801898236129,0.75,0.825,-0.032889205434035666
5,graph_survivors_placebo,elastic_logistic_c1_l25,9001,350,20,210000,12000,0.5374839078657689,0.24587994373418257,0.6848963760560582,0.09063819578669681,0.020216481571319268,0.75,0.85,-0.050196410569464625
5,graph_survivors_placebo,tanh_mlp_16_8,9001,350,20,210000,12000,0.5073845128963123,0.24821584349586337,0.6895525056802717,0.09528417652840482,0.017299958131385185,0.75,0.85,-0.047714025682903144
5,graph_survivors_placebo,elastic_logistic_c1_l25,2025,350,20,210000,12000,0.5384897062058893,0.2458451909813499,0.6848264362740366,0.08976162916393249,0.022783761106124876,0.75,0.7999999999999999,-0.04290333977335738
5,graph_survivors_placebo,tanh_mlp_16_8,2025,350,20,210000,12000,0.5074046189844008,0.24650039978301438,0.6861240987356708,0.08527664166507078,0.009277313006103866,0.5,0.9249999999999999,-0.036025746255588936
6,graph_survivors_placebo,elastic_logistic_c1_l25,117,370,20,222000,12000,0.5143451490347943,0.2501562162618142,0.6934596743298829,0.022818288472885022,-0.0018034381836373658,0.25,0.725,-0.02160449709619886
6,graph_survivors_placebo,tanh_mlp_16_8,117,370,20,222000,12000,0.5149080634278003,0.25024652232991906,0.6936399994886889,0.022313080279131387,0.014114690309017807,0.5,0.8500000000000001,-0.03040419085121391
6,graph_survivors_placebo,elastic_logistic_c1_l25,442,370,20,222000,12000,0.5165721641694181,0.25008172689565156,0.6933107288573219,0.020738598830624403,-0.001690000901914332,0.25,0.65,-0.01760152082074325
6,graph_survivors_placebo,tanh_mlp_16_8,442,370,20,222000,12000,0.5192441878297142,0.25017455473734745,0.6934981419348458,0.022869086171432726,0.007645520294853171,0.5,0.9,-0.046801917933216065
6,graph_survivors_placebo,elastic_logistic_c1_l25,8080,370,20,222000,12000,0.5191915135779552,0.2500493391975149,0.6932460076494893,0.020629620780920125,-0.004208701098311864,0.25,0.55,-0.026683723047371283
6,graph_survivors_placebo,tanh_mlp_16_8,8080,370,20,222000,12000,0.5127857855975705,0.2502914915105786,0.6937337469510949,0.015780443112910186,-0.009226512014231594,0.5,0.9,-0.04182020069035515
6,graph_survivors_placebo,elastic_logistic_c1_l25,9001,370,20,222000,12000,0.5294200976051662,0.2497905376031362,0.6927261497598949,0.02107386645353121,0.004612993158179616,0.5,0.7749999999999999,-0.02415729153705354
6,graph_survivors_placebo,tanh_mlp_16_8,9001,370,20,222000,12000,0.5149597375355384,0.25037115471620236,0.6938947597312126,0.02681831934065538,0.006692556200813346,0.75,0.8500000000000001,-0.022271927508708433
6,graph_survivors_placebo,elastic_logistic_c1_l25,2025,370,20,222000,12000,0.5271639116032709,0.24983060805353524,0.6928062943620641,0.021051877732156044,-0.0060517760047607986,0.5,0.775,-0.032901723612033154
6,graph_survivors_placebo,tanh_mlp_16_8,2025,370,20,222000,12000,0.5251994898376477,0.2500082288569441,0.6931656521259159,0.02326182003487683,-0.009933052883639193,0.25,0.775,-0.034432646178180086
