split,date,feature_set,model,seed,auc,brier
1,2025-11-26,base_plus_crowding,tanh_mlp_16_8,2025,0.6248685714285716,0.2424022749028011
1,2025-11-28,base_plus_crowding,tanh_mlp_16_8,2025,0.5725404732254047,0.246992984266735
1,2025-12-01,base_plus_crowding,tanh_mlp_16_8,2025,0.5752455357142857,0.24701600176941654
1,2025-12-02,base_plus_crowding,tanh_mlp_16_8,2025,0.5487377474159704,0.2488499024526946
1,2025-12-03,base_plus_crowding,tanh_mlp_16_8,2025,0.4779188811188811,0.253143035948155
1,2025-12-04,base_plus_crowding,tanh_mlp_16_8,2025,0.4825740426334654,0.25145036274577637
1,2025-12-05,base_plus_crowding,tanh_mlp_16_8,2025,0.47180289224352867,0.2524927288552824
1,2025-12-08,base_plus_crowding,tanh_mlp_16_8,2025,0.47679968336747997,0.25254896073317873
1,2025-12-09,base_plus_crowding,tanh_mlp_16_8,2025,0.45220521438953487,0.25448440017241664
1,2025-12-10,base_plus_crowding,tanh_mlp_16_8,2025,0.45579068611951756,0.2568544642005169
1,2025-12-11,base_plus_crowding,tanh_mlp_16_8,2025,0.4922506946588453,0.2574322491422436
1,2025-12-12,base_plus_crowding,tanh_mlp_16_8,2025,0.5374433566433566,0.2508569874526541
1,2025-12-15,base_plus_crowding,tanh_mlp_16_8,2025,0.49734857142857136,0.25127009414236046
1,2025-12-16,base_plus_crowding,tanh_mlp_16_8,2025,0.48391119074136846,0.2530949084088184
1,2025-12-17,base_plus_crowding,tanh_mlp_16_8,2025,0.510385919630967,0.2478025169762181
1,2025-12-18,base_plus_crowding,tanh_mlp_16_8,2025,0.5179195367874614,0.24824305209078767
1,2025-12-19,base_plus_crowding,tanh_mlp_16_8,2025,0.45842237849066964,0.25481711322441986
1,2025-12-22,base_plus_crowding,tanh_mlp_16_8,2025,0.5305567038721234,0.2525713028447366
1,2025-12-23,base_plus_crowding,tanh_mlp_16_8,2025,0.5641797667342799,0.25710570606251165
1,2025-12-24,base_plus_crowding,tanh_mlp_16_8,2025,0.5333253588516746,0.253731003320989
1,2025-11-26,base_plus_crowding,tanh_mlp_16_8,9001,0.5488228571428571,0.24768184620195227
1,2025-11-28,base_plus_crowding,tanh_mlp_16_8,9001,0.5086172389254582,0.251942365275166
1,2025-12-01,base_plus_crowding,tanh_mlp_16_8,9001,0.4861607142857143,0.25299092503315546
1,2025-12-02,base_plus_crowding,tanh_mlp_16_8,9001,0.49606693443407246,0.2518721151916229
