split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
5,base_plus_crowding,tanh_mlp_16_8,442,350,20,210000,12000,0.4958488191857174,0.2512665804289038,0.6956938902877315,0.1038475218571469,0.005110548747441353,0.75,0.75,-0.034370608374665136
5,base_plus_crowding,tanh_mlp_16_8,2025,350,20,210000,12000,0.4863394821159833,0.2513477009540433,0.6959143261497428,0.10158386708746478,0.006842151091175435,0.75,0.8500000000000001,-0.021208384115700533
5,base_plus_crowding,tanh_mlp_16_8,9001,350,20,210000,12000,0.5012254253919438,0.24856075418903614,0.6902758833360259,0.09307044589020758,-0.006563584118763077,0.25,0.8500000000000001,-0.03689733190221416
5,base_plus_regime,elastic_logistic_c1_l25,0,350,20,210000,12000,0.5418931264955356,0.24564013871548204,0.6844173516567986,0.08590373809505597,0.030125932346851146,0.5,0.85,-0.018850302353663737
5,base_plus_regime,ridge_logistic_c01,0,350,20,210000,12000,0.5418175252799191,0.2456475067163689,0.6844322049359741,0.08591059788266905,0.0291775899650436,0.5,0.85,-0.018850302353663737
5,base_plus_regime,tanh_mlp_16_8,442,350,20,210000,12000,0.48101622096428104,0.25158932053578187,0.6963327019456383,0.10317690489040676,-0.006976723101316246,0.5,0.7,-0.05961291215481446
5,base_plus_regime,tanh_mlp_16_8,2025,350,20,210000,12000,0.47505703213917505,0.2515512564045888,0.6963091494618132,0.0988007558053325,0.005360421852247857,0.5,0.8250000000000001,-0.013826389317651835
5,base_plus_regime,tanh_mlp_16_8,9001,350,20,210000,12000,0.5114472211119968,0.24649031725042583,0.6860968027860975,0.0848002112149057,0.014236074368594486,0.5,0.775,-0.012870914751006168
5,graph_survivors,elastic_logistic_c1_l25,0,350,20,210000,12000,0.5397997689310732,0.24574461032279676,0.6846253266066563,0.08646160432157773,0.019808730178942087,0.75,0.875,-0.010946918725689514
5,graph_survivors,ridge_logistic_c01,0,350,20,210000,12000,0.5401456401342621,0.24574038449811306,0.6846169143016859,0.08643871933153921,0.019164227743924962,0.75,0.825,-0.009936100312737707
5,graph_survivors,tanh_mlp_16_8,442,350,20,210000,12000,0.4835408134411872,0.2534073030152534,0.7001005869155572,0.10657599245774241,-0.00248132540955384,0.25,0.75,-0.020859071533192355
5,graph_survivors,tanh_mlp_16_8,2025,350,20,210000,12000,0.47196772589335245,0.25688958050950267,0.7070717779198682,0.1183217451831911,0.0015818533218533676,0.5,0.7000000000000001,-0.025380902592487667
5,graph_survivors,tanh_mlp_16_8,9001,350,20,210000,12000,0.4845246171155806,0.2507428635681497,0.6946554355553887,0.09406531779183412,-0.001260020835771562,0.5,0.875,-0.02695998503333506
